Country,YEAR,GDP,Inflation,CPI
Aruba,2000,30149.4234,4.044021312,72.0314566
Africa Eastern and Southern,2000,2156.35487,8.601485149,
Afghanistan,2000,,,
Africa Western and Central,2000,2025.09589,2.530775167,
Angola,2000,3271.27026,324.9968716,2.90908239
Albania,2000,3860.80463,0.050018136,74.1382246
Andorra,2000,,,
Arab World,2000,10065.1914,1.853790353,
United Arab Emirates,2000,98253.4052,,
Argentina,2000,11605.5923,,
Armenia,2000,2655.32398,-0.79088377,65.0005904
American Samoa,2000,,,
Antigua and Barbuda,2000,16823.9849,0.771779797,81.0825688
Australia,2000,26343.0767,4.457435148,74.3756504
Austria,2000,29376.0197,2.344862854,82.6019087
Azerbaijan,2000,3381.66621,1.805003037,48.866855
Burundi,2000,526.48206,24.43202421,41.9430204
Belgium,2000,27784.5715,2.544517762,81.4218043
Benin,2000,1757.72101,4.165404423,74.3319476
Burkina Faso,2000,920.891695,-0.30421217,74.9152429
Bangladesh,2000,1330.03556,2.208256209,53.9091441
Bulgaria,2000,6421.95913,10.31626213,56.1013968
Bahrain,2000,42133.9801,-0.70485295,83.4385023
"Bahamas, The",2000,28002.3448,1.606329417,80.0088429
Bosnia and Herzegovina,2000,4598.15512,,
Belarus,2000,5801.75813,168.6202359,16.0506057
Belize,2000,5543.80054,,
Bermuda,2000,53921.7737,,
Bolivia,2000,3433.71074,4.608229989,62.6303681
Brazil,2000,9050.49405,7.044141059,52.5315827
Barbados,2000,12693.2832,2.435813035,67.2938918
Brunei Darussalam,2000,66363.6504,1.558152476,94.9592653
Bhutan,2000,2693.31484,4.01099373,80.6280019
Botswana,2000,8452.35276,8.601485149,44.0345098
Central African Republic,2000,673.67457,3.203400916,72.5378637
Canada,2000,29362.0842,2.719439957,81.8903835
Central Europe and the Baltics,2000,10015.3579,8.911744187,
Switzerland,2000,36772.6946,1.558529197,91.7494743
Channel Islands,2000,,,
Chile,2000,9585.72243,3.843272957,73.6733348
China,2000,2917.24253,0.347811227,80.9700223
Cote d'Ivoire,2000,3270.10903,2.530775167,75.2272006
Cameroon,2000,2026.5205,1.22719013,77.614265
"Congo, Dem. Rep.",2000,446.574198,513.9068437,6.79873848
"Congo, Rep.",2000,3695.02544,-0.88199152,75.8358893
Colombia,2000,6682.77233,9.222570802,58.2158441
Comoros,2000,1799.25046,,69.1444788
Cabo Verde,2000,3028.75208,-2.47745669,78.6650455
Costa Rica,2000,7829.5341,10.96154966,37.3575449
Caribbean small states,2000,9503.81481,2.308815608,
Cuba,2000,,,
Curacao,2000,21888.3471,,76.8423354
Cayman Islands,2000,,,
Cyprus,2000,21288.5098,4.141657647,77.5117436
Czech Republic,2000,16235.4806,3.775388292,77.8175954
Germany,2000,27199.0441,1.440268187,85.6988091
Djibouti,2000,,,70.0722695
Dominica,2000,6508.8878,0.856946805,80.3998463
Denmark,2000,28658.125,2.903282032,81.6811517
Dominican Republic,2000,6752.44821,7.724135662,31.8464352
Algeria,2000,8436.99096,0.339163189,70.438128
East Asia & Pacific (excluding high income),2000,3309.90997,2.158518106,
Early-demographic dividend,2000,4174.04897,3.938327418,
East Asia & Pacific,2000,5774.61718,1.591969175,
Europe & Central Asia (excluding high income),2000,6222.84478,15.94081244,
Europe & Central Asia,2000,15952.5872,3.775388292,
Ecuador,2000,5832.26852,96.09411369,45.5937082
"Egypt, Arab Rep.",2000,5787.54213,2.683805353,45.0768656
Euro area,2000,25314.4094,2.853030393,
Eritrea,2000,1526.84692,,
Spain,2000,21584.2512,3.433515634,75.9257645
Estonia,2000,9421.29142,4.018489525,66.4507525
Ethiopia,2000,482.335746,0.662458109,37.5823389
European Union,2000,22073.712,3.15076707,
Fragile and conflict affected situations,2000,2672.27685,3.513000898,
Finland,2000,26784.7065,3.042100807,86.0844925
Fiji,2000,5830.07173,1.0921646,70.1430874
France,2000,26090.6345,1.675959887,84.3891323
Faroe Islands,2000,,,
"Micronesia, Fed. Sts.",2000,2486.50659,2.158518106,72.420466
Gabon,2000,13836.6116,0.504920026,81.5877558
United Kingdom,2000,26472.1937,1.182956242,81.4684668
Georgia,2000,3100.9884,4.063962014,54.9035089
Ghana,2000,1769.52378,40.24093312,19.2083498
Gibraltar,2000,,,
Guinea,2000,1222.94987,,
"Gambia, The",2000,1911.60135,0.844969567,50.9711631
Guinea-Bissau,2000,1071.29126,8.636320949,78.3888039
Equatorial Guinea,2000,8607.94383,4.802288869,56.0051752
Greece,2000,19516.1972,3.151181625,72.2012892
Grenada,2000,7632.56765,2.181818182,73.5382535
Greenland,2000,,,
Guatemala,2000,4758.24808,5.977577347,51.8587057
Guam,2000,,,
Guyana,2000,6007.44517,6.14854333,56.4365666
High income,2000,27570.8482,2.615234462,
"Hong Kong SAR, China",2000,28221.1226,-3.68550369,95.8964075
Honduras,2000,2588.38762,11.04803493,48.1155372
Heavily indebted poor countries (HIPC),2000,1309.25821,4.165404423,
Croatia,2000,10683.6035,4.611315547,75.8142448
Haiti,2000,2185.93279,9.333221976,32.2636203
Hungary,2000,11853.1785,9.803610169,57.8770182
IBRD only,2000,4466.36786,4.8906255,
IDA & IBRD total,2000,3874.34578,4.282976385,
IDA total,2000,1688.77026,3.766693484,
IDA blend,2000,2549.98624,1.704504156,
Indonesia,2000,4738.55478,3.68861916,44.0160379
IDA only,2000,1257.8697,3.955261766,
Isle of Man,2000,,,
India,2000,2093.26599,4.00943591,54.3383216
Not classified,2000,,,
Ireland,2000,30205.6572,5.5907173,78.3595721
"Iran, Islamic Rep.",2000,10858.044,14.47675132,25.6154538
Iraq,2000,11045.9031,4.978962132,18.158581
Iceland,2000,29779.0932,5.136471232,54.7318526
Israel,2000,24951.2176,1.053575432,80.8319885
Italy,2000,27072.4214,2.537685321,80.7107505
Jamaica,2000,6348.62592,8.171083561,34.041977
Jordan,2000,5930.46636,0.666880926,67.2353965
Japan,2000,27287.2702,-0.67657868,102.667615
Kazakhstan,2000,7725.00252,13.18089059,43.789305
Kenya,2000,1827.82641,9.980025154,38.0878723
Kyrgyz Republic,2000,1861.62166,18.70073428,48.9869016
Cambodia,2000,1074.18835,-0.79199253,60.9954042
Kiribati,2000,1572.59823,,
St. Kitts and Nevis,2000,15657.7088,2.148855327,72.110057
"Korea, Rep.",2000,18538.8355,2.259165801,73.1145656
Kuwait,2000,56115.4657,1.812946139,69.9434341
Latin America & Caribbean (excluding high income),2000,8442.74677,7.069913523,
Lao PDR,2000,1829.88739,25.08464143,48.1443016
Lebanon,2000,8941.94578,,
Liberia,2000,992.274953,,
Libya,2000,20411.0191,-2.9,98.8052867
St. Lucia,2000,9254.61943,3.710786087,78.026436
Latin America & Caribbean,2000,8685.57993,4.686027358,
Least developed countries: UN classification,2000,1221.12859,4.01099373,
Low income,2000,1002.91478,3.822600881,
Liechtenstein,2000,,,
Sri Lanka,2000,4334.75224,6.17627591,36.480029
Lower middle income,2000,2908.50245,4.01021482,
Low & middle income,2000,3731.3567,4.199288256,
Lesotho,2000,1254.78892,6.131975387,50.6852539
Late-demographic dividend,2000,4787.55171,4.10280983,
Lithuania,2000,8445.89921,0.981615479,74.4044778
Luxembourg,2000,55117.2565,3.15076707,80.0532096
Latvia,2000,8039.50637,2.654254778,59.1728346
"Macao SAR, China",2000,34917.7281,-1.60971884,80.5231872
St. Martin (French part),2000,,,
Morocco,2000,3575.2832,1.894634568,83.6497533
Monaco,2000,,,
Moldova,2000,3080.23177,31.29930158,40.0302452
Madagascar,2000,1294.37538,11.8596845,37.7489052
Maldives,2000,8450.93932,-1.17475681,71.0834166
Middle East & North Africa,2000,11464.9782,1.812946139,
Mexico,2000,11089.49,9.491561494,63.3128119
Marshall Islands,2000,2415.54475,,
Middle income,2000,3969.27837,4.487447251,
North Macedonia,2000,6151.79687,6.60742291,79.9059591
Mali,2000,1133.25181,-0.67766166,76.4073269
Malta,2000,18355.4968,2.369592875,78.8368214
Myanmar,2000,824.962767,-0.10916551,14.9913129
Middle East & North Africa (excluding high income),2000,7294.32544,2.683805353,
Montenegro,2000,6001.79131,,
Mongolia,2000,3725.01443,11.59553876,41.6342115
Northern Mariana Islands,2000,,,
Mozambique,2000,477.767264,,
Mauritania,2000,3037.61504,3.254067458,53.1532331
Mauritius,2000,9017.16881,4.199288256,56.8934454
Malawi,2000,964.775553,29.58148846,32.3572238
Malaysia,2000,12898.5033,1.534740237,80.5192719
North America,2000,35650.1232,3.048148614,
Namibia,2000,5196.74454,,
New Caledonia,2000,,,
Niger,2000,776.196452,2.900149736,77.99518
Nigeria,2000,2303.49438,6.933292156,29.6007321
Nicaragua,2000,2780.03593,7.069913523,45.7150162
Netherlands,2000,31870.8335,2.360522338,81.9474647
Norway,2000,36936.4865,3.085506091,81.9292372
Nepal,2000,1349.96229,2.478820207,55.7535087
Nauru,2000,,,
New Zealand,2000,21513.7028,2.615234462,76.9981373
OECD members,2000,24648.3469,3.063803449,
Oman,2000,40912.3534,,74.767613
Other small states,2000,11144.3755,4.080073586,
Pakistan,2000,2951.41331,4.366664513,43.4116982
Panama,2000,8358.22482,1.498961116,77.3303452
Peru,2000,5037.53716,3.757338333,79.161854
Philippines,2000,3435.63085,3.977125032,63.6514523
Palau,2000,9945.56201,,
Papua New Guinea,2000,2079.08905,15.59589331,52.9052728
Poland,2000,10672.1211,9.900175388,76.047606
Pre-demographic dividend,2000,2063.32964,4.165404423,
Puerto Rico,2000,22935.2029,,
"Korea, Dem. People's Rep.",2000,,,
Portugal,2000,18876.6595,2.853030393,78.5323684
Paraguay,2000,6646.61253,8.982159768,47.2891418
West Bank and Gaza,2000,2782.16056,2.798198924,67.3659536
Pacific island small states,2000,3827.41508,2.348103274,
Post-demographic dividend,2000,26939.9217,2.579876112,
French Polynesia,2000,,,
Qatar,2000,96713.1055,1.650335224,60.8834509
Romania,2000,5848.08495,45.66659404,31.9822221
Russian Federation,2000,6825.3916,20.79876066,30.7595537
Rwanda,2000,630.385735,3.899529803,46.7113657
South Asia,2000,2111.43298,4.00943591,
Saudi Arabia,2000,39837.3087,-1.12499478,76.6908849
Sudan,2000,2645.41797,7.121258972,35.8429473
Senegal,2000,1997.19959,0.731981982,80.8836342
Singapore,2000,43775.8727,1.361623924,85.1991348
Solomon Islands,2000,1631.54547,7.88956187,44.6043519
Sierra Leone,2000,692.224607,,
El Salvador,2000,4461.82106,2.271287568,71.3778884
San Marino,2000,52414.0303,,
Somalia,2000,,,
Serbia,2000,6019.11493,71.12062879,19.7576882
Sub-Saharan Africa (excluding high income),2000,2100.52183,4.199288256,
South Sudan,2000,,,
Sub-Saharan Africa,2000,2102.00921,4.500788563,
Small states,2000,10296.5556,3.046550819,
Sao Tome and Principe,2000,,12.20894563,22.3493334
Suriname,2000,7625.7011,59.40168655,28.9653888
Slovak Republic,2000,11376.5559,12.0357806,65.3990787
Slovenia,2000,18001.2292,8.911744187,66.5351168
Sweden,2000,29618.2793,0.899143734,86.2262961
Eswatini,2000,4716.60459,12.20853585,50.3294496
Sint Maarten (Dutch part),2000,,,
Seychelles,2000,14255.2052,6.268768769,47.0771605
Syrian Arab Republic,2000,,-3.84615385,57.7069747
Turks and Caicos Islands,2000,,,
Chad,2000,764.713422,3.822600881,72.1689327
East Asia & Pacific (IDA & IBRD countries),2000,3348.06989,2.158518106,
Europe & Central Asia (IDA & IBRD countries),2000,6641.78694,13.18089059,
Togo,2000,971.34985,1.862605955,74.4945329
Thailand,2000,7294.59442,1.591969175,77.3524002
Tajikistan,2000,1047.4026,,28.3487684
Turkmenistan,2000,4270.15702,,
Latin America & the Caribbean (IDA & IBRD countries),2000,8607.69625,5.977577347,
Timor-Leste,2000,1249.45601,,
Middle East & North Africa (IDA & IBRD countries),2000,7343.08386,2.289219961,
Tonga,2000,3645.23847,6.327635514,47.6988127
South Asia (IDA & IBRD),2000,2111.43298,4.00943591,
Sub-Saharan Africa (IDA & IBRD countries),2000,2102.00921,4.500788563,
Trinidad and Tobago,2000,14530.7073,3.555413197,51.0526154
Tunisia,2000,6314.8073,2.962307947,73.9886871
Turkiye,2000,9628.9147,54.91537058,20.5948262
Tuvalu,2000,2589.19763,,
Tanzania,2000,1189.93018,5.923961096,51.7077253
Uganda,2000,1140.70577,3.392021585,53.6994388
Ukraine,2000,4260.27686,28.20309724,34.8449504
Upper middle income,2000,5165.00529,5.658264188,
Uruguay,2000,10243.4493,4.763824727,43.4709671
United States,2000,36329.9561,3.376857271,78.9707208
Uzbekistan,2000,2658.59476,,
St. Vincent and the Grenadines,2000,6849.44188,0.167679637,74.1041164
"Venezuela, RB",2000,11735.6406,,
British Virgin Islands,2000,,,
Virgin Islands (U.S.),2000,,,
Vietnam,2000,2523.72551,-1.71033728,48.0884087
Vanuatu,2000,2221.49757,2.537688442,75.146389
World,2000,8036.27604,3.494464415,
Samoa,2000,3259.59528,0.96678235,57.4140462
Kosovo,2000,,,
"Yemen, Rep.",2000,2957.06796,4.59,34.2391731
South Africa,2000,8488.86281,5.338951029,59.9007096
Zambia,2000,1643.05084,26.03041179,23.8282879
Zimbabwe,2000,2270.0173,,
Aruba,2001,31421.6405,2.883604303,74.1085588
Africa Eastern and Southern,2001,2227.8891,5.840353983,
Afghanistan,2001,,,
Africa Western and Central,2001,2121.94263,4.36152914,
Angola,2001,3372.47071,152.5610225,7.34720824
Albania,2001,4299.54649,3.10758827,76.4421353
Andorra,2001,,,
Arab World,2001,10238.0328,1.772204374,
United Arab Emirates,2001,96670.4545,,
Argentina,2001,11220.6562,,
Armenia,2001,2994.24809,3.145904647,67.045447
American Samoa,2001,,,
Antigua and Barbuda,2001,16164.3607,1.402796636,82.2199924
Australia,2001,27439.8278,4.407135362,77.653486
Austria,2001,29702.7975,2.650000773,84.7908599
Azerbaijan,2001,3770.85229,1.547195902,49.622921
Burundi,2001,537.061622,9.296187713,45.8421223
Belgium,2001,28788.0628,2.469258231,83.432319
Benin,2001,1836.78656,3.984295478,77.293552
