Year,Country,Resettled by destination per capita,Remittances (% GDP),Five-year change immigrants,Refugees by destination,Child migrants (UNICEF),Resettled by origin,Child migrants (under-20s),Asylum seekers by origin (per capita),Child migrants per capita (under-20s),Five-year change immigrants per capita,Refugees by destination,Resettled by destination,Internal displacement (disasters),Annual internal displacements (Disaster),Asylum seekers by destination,Five-year change emigrants,Annual internal displacement from conflict (%),Refugees by destination (per capita),Refugees by origin (per capita),"Child migrants (UNICEF, under-18s)",Refugees by origin,Internal displacement (disaster),Emigrants,Annual internal displacement (conflict),Internal displacement share (conflict),Asylum seekers by origin,International immigrants (% population),International migrants,Internal displacement (conflict),Asylum seekers by destination (per capita),Resettled arrivals by origin (per capita),Annual internal displacement from disaster (%),Net migration rate,Remittances cost (to),Child migrants (UNDESA),Child migrants per capita (UNDESA),Net migration,Remittances cost (from),Five-year change emigrants per capita,International emigrants (% population),Refugees by destination (per capita)
1955, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197,,,,525786,,,,
1960, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275,,,,809851,,,,
1965, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,,,577018,,,,
1970, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,,,82258,,,,
1975, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.285,,,,-1174222,,,,
1980, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.165,,,,-764323,,,,
1985, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.261,,,,-1359446,,,,
1990, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.281,,,,-1645814,,,,
1995, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.41,,,,-2680612,,,,
2000, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.662,,,,-4778138,,,,
2005, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.655,,,,-5175898,,,,
2010, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.148,,,,-9818745,,,,
2015, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.912,,,,-8370001,,,,
2020, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.692,,,,-6769678,,,,
1955, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,,,,205036,,,,
1960, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,537082,,,,
1965, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.172,,,,-923430,,,,
1970, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124,,,,745981,,,,
1975, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.041,,,,-277213,,,,
1980, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,,,,-824199,,,,
1985, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,,,,148168,,,,
1990, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,,,,165059,,,,
1995, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.235,,,,-2228331,,,,
2000, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032,,,,-317305,,,,
2005, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.457,,,,-4762081,,,,
2010, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.521,,,,-5633911,,,,
2015, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.206,,,,-2311105,,,,
2020, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.246,,,,-2850444,,,,
1981, IDA only,,2.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982, IDA only,,2.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983, IDA only,,2.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984, IDA only,,2.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985, IDA only,,2.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986, IDA only,,2.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, IDA only,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988, IDA only,,2.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989, IDA only,,2.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990, IDA only,,2.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991, IDA only,,2.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992, IDA only,,2.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993, IDA only,,2.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994, IDA only,,2.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995, IDA only,,2.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996, IDA only,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997, IDA only,,2.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
